family,subfamily,clade,genus,Consensus estimate,phylogenetic estimate,Spp recognized (The Plant List),Spp studied,Positive reports,Negative reports,GRIN,TRY,Nodulation_clade,Werner et al. 2014,Li et al. 2015,Sprent 2009,Rai et al. 2000,Chaia et al. 2010,Other sources,Ref:other,Comments
Fabaceae,Caesalpinioideae,,Stuhlmannia,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Sympetalandra,unlikely_Rhizobia,unlikely_Rhizobia,5,0,0,0,,,,,,,,,,,
Fabaceae,Caesalpinioideae,,Zuccagnia,unlikely_Rhizobia,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Tachigali,Rhizobia,unlikely_Rhizobia,74,16,16,5,Rhizobia,Present,Rhizobia,Rhizobia,Rhizobia,Rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Tara,None,unlikely_Rhizobia,0,0,0,0,,,,,None,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Tetrapterocarpon,unlikely_Rhizobia,unlikely_Rhizobia,2,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Umtiza,None,unlikely_Rhizobia,1,0,0,0,,Present,,None,,unlikely_rhizobia,,,,,
Fabaceae,Caesalpinioideae,,Wallaceodendron,Rhizobia,likely_Rhizobia,1,1,1,0,Rhizobia,,Rhizobia,Rhizobia,,,,,,,
Fabaceae,Caesalpinioideae,,Vouacapoua,Rhizobia,unlikely_Rhizobia,11,5,4,2,ambiguous,variable,Rhizobia,None,Rhizobia,unlikely_rhizobia,,,Rhizobia,"Gehring et al. 2005 (nat, 1sp); Moreira et al. 2010 (nat, 1sp); Souza 2010 (nat, 1sp); ",
Fabaceae,Cercidoideae,,Adenolobus,None,unlikely_Rhizobia,2,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Barklya,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Bauhinia,None,unlikely_Rhizobia,361,59,3,64,None,Present,None,None,None,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Brenierea,None,unlikely_Rhizobia,1,0,0,0,,,,,,unlikely_rhizobia,,,,,
Fabaceae,Cercidoideae,,Cercis,None,unlikely_Rhizobia,10,8,2,6,None,None,None,None,None,unlikely_rhizobia,,,,,
